romaji,hiragana,katakana,hiragana_img,
a,あ,ア,hiragana/Hiragana_A.svg
i,い,イ,hiragana/Hiragana_I.png
u,う,ウ,hiragana/Hiragana_U.png
e,え,エ,hiragana/Hiragana_E.png
o,お,オ,hiragana/Hiragana_O.png
ka,か,カ,hiragana/Hiragana_KA.svg
ki,き,キ,hiragana/Hiragana_KI.svg
ku,く,ク,hiragana/Hiragana_KU.svg
ke,け,ケ,hiragana/Hiragana_KE.png
ko,こ,コ,hiragana/Hiragana_KO.png
sa,さ,サ,hiragana/Hiragana_SA.svg
shi,し,シ,hiragana/Hiragana_SHI.svg
su,す,ス,hiragana/Hiragana_SU.svg
se,せ,セ,hiragana/Hiragana_SE.svg
so,そ,ソ,hiragana/Hiragana_SO.svg
ta,た,タ,hiragana/Hiragana_TA.png
chi,ち,チ,hiragana/Hiragana_CHI.png
tsu,つ,ツ,hiragana/Hiragana_TSU.png
te,て,テ,hiragana/Hiragana_TE.png
to,と,ト,hiragana/Hiragana_TO.png
na,な,,hiragana/Hiragana_NA.png
ni,に,,hiragana/Hiragana_NI.png
nu,ぬ,,hiragana/Hiragana_NU.png
ne,ね,,hiragana/Hiragana_NE.png
no,の,,hiragana/Hiragana_NO.png
ha,は,,hiragana/Hiragana_HA.png
hi,ひ,,hiragana/Hiragana_HI.png
fu,ふ,,hiragana/Hiragana_FU.png
he,へ,,hiragana/Hiragana_HE.png
ho,ほ,,hiragana/Hiragana_HO.png
ma,ま,,hiragana/Hiragana_MA.svg
mi,み,,hiragana/Hiragana_MI.png
mu,む,,hiragana/Hiragana_MU.png
me,め,,hiragana/Hiragana_ME.png
mo,も,,hiragana/Hiragana_MO.png
ra,ら,,hiragana/Hiragana_RA.png
ri,り,,hiragana/Hiragana_RI.png
ru,る,,hiragana/Hiragana_RU.png
re,れ,,hiragana/Hiragana_RE.png
ro,ろ,,hiragana/Hiragana_RO.png
wa,わ,
wo,を,
n,ん,
ga,が,
gi,ぎ,
gu,ぐ,
ge,げ,
go,ご,
za,ざ,
ji,じ,
zu,ず,
ze,ぜ,
zo,ぞ,
ji,じ,
da,だ,
dji,ぢ,
dzu,づ,
de,で,
do,ど,
ba,ば,
bi,び,
bu,ぶ,
be,べ,
bo,ぼ,
pa,ぱ,
pi,ぴ,
pu,ぷ,
pe,ぺ,
po,ぽ,
ya,や,
yu,ゆ,
yo,よ,
kya,きゃ,
kyu,きゅ,
kyo,きょ,
sha,しゃ,
shu,しゅ,
sho,しょ,
cha,ちゃ,
chu,ちゅ,
cho,ちょ,
nya,にゃ,
nyu,にゅ,
nyo,にょ,
hya,ひゃ,
hyu,ひゅ,
hyo,ひょ,
mya,みゃ,
myu,みゅ,
myo,みょ,
rya,りゃ,
ryu,りゅ,
ryo,りょ,
gya,ぎゃ,
gyu,ぎゅ,
gyo,ぎょ,
ja,じゃ,
ju,じゅ,
jo,じょ,
dja,ぢゃ,
dju,ぢゅ,
djo,ぢょ,
bya,びゃ,
byu,びゅ,
byo,びょ,
pya,ぴゃ,
pyu,ぴゅ,
pyo,ぴょ,
sokuon,っ,
",",、,
.,。,
?,。,
